time,long,lat,dt,H,Roll,pitch,yaw,S,truckSpeed,truck_Lat,truck_long,Tension
0,130.188964,33.1468,0.15,62.94,-1,-54,-1,10,0,33.146992,130.1888599,0
0.15,130.188964,33.1468,0.15,63.07,-1,-54,-1,10,0.24076,33.14699278,130.1888597,0
0.3,130.188964,33.1468,0.15,62.88,-1,-54,-1,10,0.463,33.14699305,130.1888595,0
0.45,130.188964,33.1468,0.15,62.88,-1,-54,-1,10,3.12062,33.14699344,130.1888593,0
0.6,130.188964,33.1468,0.15,62.88,-1,-54,-1,10,4.11144,33.14699465,130.1888584,4.53
0.75,130.188964,33.1468,0.15,62.75,-1,-54,-1,10,5.54674,33.14699629,130.1888569,11.325
0.9,130.188964,33.1468,0.15,62.75,-1,-54,-1,10,6.68572,33.14699827,130.1888551,13.59
1.05,130.188964,33.1468,0.15,62.75,-1,-54,-1,10,7.63024,33.14700067,130.1888531,15.855
1.2,130.188964,33.1468,0.15,62.75,-1,-54,-1,10,8.74144,33.1470034,130.188851,13.59
1.35,130.188964,33.1468,0.15,62.88,-2,-54,-2,10,9.41742,33.14700643,130.1888486,20.385
1.5,130.188964,33.1468,0.15,62.5,-2,-54,-2,10,10.44528,33.1470097,130.188846,18.12
1.65,130.188964,33.1468,0.15,62.5,-2,-54,-2,10,11.23238,33.14701317,130.1888431,20.385
1.8,130.188964,33.1468,0.15,62.5,-2,-61,-3,10,11.70464,33.14701682,130.18884,31.71
1.95,130.188964,33.1468,0.15,62.5,-1,-59,-1,10,12.55656,33.14702078,130.1888369,47.565
2.1,130.188964,33.1468,0.15,62.5,0,-53,0,10,13.87148,33.1470251,130.1888335,72.48
2.25,130.188964,33.146808,0.15,62.5,0,-53,0,10,14.76044,33.14702974,130.1888297,74.745
2.4,130.188964,33.146808,0.15,62.5,3,-50,2,10,15.33456,33.14703458,130.1888258,86.07
2.55,130.188964,33.146808,0.15,63.38,4,-48,3,10,16.21426,33.14703973,130.1888218,101.925
2.7,130.188949,33.146816,0.15,63.38,4,-47,2,10,16.964319,33.14704508,130.1888176,131.37
2.85,130.188949,33.146816,0.15,63.38,4,-47,2,10,17.86254,33.1470507,130.1888131,185.73
3,130.188949,33.146816,0.15,63.25,4,-46,2,10,18.59408,33.14705662,130.1888083,244.62
3.15,130.188949,33.146816,0.15,63.63,4,-46,3,10,19.1033805,33.14706267,130.1888035,251.415
3.3,130.188949,33.146816,0.15,63.63,4,-49,3,10,19.87196,33.14706887,130.1887984,249.15
3.45,130.188949,33.146839,0.15,63.63,4,-49,3,10,20.3164395,33.14707543,130.1887933,215.175
3.6,130.188934,33.146839,0.15,63.82,3,-49,2,10,21.298,33.14708223,130.1887878,199.32
3.75,130.188934,33.146846,0.15,63.82,3,-46,2,10,21.8906395,33.14708925,130.1887823,181.2
3.9,130.188919,33.14685,0.15,64.5,1,-48,1,10,22.631439,33.14709638,130.1887766,176.67
4.05,130.188919,33.14685,0.15,64.5,1,-48,1,10,23.0110995,33.14710344,130.1887712,172.14
4.2,130.188919,33.14685,0.15,64.5,0,-48,0,10,23.37224,33.14711052,130.1887658,149.49
4.35,130.188903,33.146869,0.15,64.88,-2,-53,-1,10,23.60374,33.14711761,130.1887604,147.225
4.5,130.188888,33.146877,0.15,64.88,-3,-50,-3,10,24.18712,33.14712483,130.1887547,140.43
4.65,130.188888,33.146877,0.15,64.88,-3,-50,-3,10,24.5482595,33.14713223,130.1887487,142.695
4.8,130.188888,33.146877,0.15,64.88,-4,-48,-4,10,24.520479,33.14713963,130.1887429,144.96
4.95,130.188873,33.146896,0.15,66.32,-7,-47,-6,10,24.7149405,33.14714709,130.1887372,149.49
5.1,130.188858,33.146907,0.15,67.44,-7,-44,-5,10,25.205721,33.14715472,130.1887315,172.14
5.25,130.188858,33.146907,0.15,67.44,-7,-44,-5,10,25.715019,33.14716264,130.1887257,169.875
5.4,130.188858,33.146907,0.15,67.44,-7,-42,-4,10,26.002081,33.14717075,130.1887198,181.2
5.55,130.188858,33.146907,0.15,70.13,-7,-36,0,10,26.36322,33.14717898,130.1887138,174.405
5.7,130.188858,33.146907,0.15,70.13,-7,-28,3,10,27.16884,33.14718725,130.1887078,172.14
5.85,130.188858,33.146972,0.15,70.13,-7,-28,3,10,27.2058805,33.14719553,130.1887015,172.14
6,130.188796,33.146972,0.15,72.75,-8,-25,5,10,27.2244,33.14720387,130.1886954,167.61
6.15,130.188781,33.146987,0.15,72.75,-6,-20,11,10,27.78,33.14721225,130.1886891,154.02
6.3,130.188766,33.147003,0.15,74.69,-4,-15,16,10,28.35412,33.14722093,130.1886828,154.02
6.45,130.188766,33.147003,0.15,74.69,-4,-15,16,10,28.62266,33.14722966,130.1886765,154.02
6.6,130.188766,33.147014,0.15,74.69,-1,-13,18,10,28.53932,33.14723835,130.1886703,167.61
6.75,130.188751,33.147033,0.15,75.32,4,-11,18,10,29.0301,33.14724728,130.1886639,163.08
6.9,130.188751,33.147048,0.15,75.32,5,-8,6,10,29.55792,33.14725617,130.1886574,158.55
7.05,130.188751,33.147048,0.15,75.32,5,-8,6,10,29.6597805,33.14726522,130.1886509,138.165
7.2,130.188751,33.147048,0.15,75.32,6,-5,-1,10,29.576441,33.14727425,130.1886443,122.31
7.35,130.18872,33.147075,0.15,75.82,6,-5,-8,10,29.93758,33.14728349,130.1886377,120.045
7.5,130.188705,33.14709,0.15,76,5,-4,-6,10,30.13204,33.14729293,130.1886309,113.25
7.65,130.188705,33.14709,0.15,76,5,-4,-6,10,30.4931805,33.14730248,130.188624,86.07
7.8,130.188705,33.14709,0.15,76,3,-4,-5,10,30.52096,33.14731198,130.1886172,58.89
7.95,130.188674,33.147121,0.15,76.32,-2,-2,-4,10,30.49318,33.14732142,130.1886106,58.89
8.1,130.188659,33.147136,0.15,76.32,-5,-1,5,10,31.650681,33.14733117,130.1886034,40.77
8.25,130.188659,33.147136,0.15,76.32,-5,-1,5,10,31.9933005,33.14734113,130.1885961,65.685
8.4,130.188659,33.147136,0.15,77.13,-6,-1,10,10,31.854401,33.14735118,130.1885889,45.3
8.55,130.188644,33.147171,0.15,77.13,-5,0,14,10,31.77106,33.14736117,130.1885816,38.505
