time,long,lat,dt,H,Roll,pitch,yaw,S,truckSpeed,truck_Lat,truck_long,Tension
0,130.188964,33.146831,0.15,50.19,0,-61,-141,8,0,33.146955,130.1888919,0
0.15,130.188964,33.146831,0.15,50.32,0,-61,-141,8,2.48168,33.14695596,130.188915,2.265
0.3,130.188964,33.146831,0.15,50.32,0,-61,-142,8,3.85216,33.1469572,130.1889146,4.53
0.45,130.188964,33.146831,0.15,50.07,0,-62,-142,8,4.96336,33.14695887,130.1889139,4.53
0.6,130.188964,33.146831,0.15,50.07,0,-62,-144,8,6.019,33.14696095,130.1889131,4.53
0.75,130.188964,33.146831,0.15,50.07,-2,-65,-153,8,6.64868,33.14696332,130.1889123,6.795
0.9,130.188964,33.146831,0.15,50.25,-1,-64,-152,9,7.33392,33.14696597,130.1889113,13.59
1.05,130.188964,33.146831,0.15,50.25,-1,-48,-139,9,8.16732,33.14696901,130.1889102,33.975
1.2,130.188964,33.146831,0.15,50.25,-1,-48,-139,9,8.64884,33.14697223,130.1889088,72.48
1.35,130.188964,33.146831,0.15,51.38,-1,-34,-132,9,9.28778,33.14697573,130.1889074,101.925
1.5,130.188964,33.146831,0.15,51.38,-2,-32,-132,9,9.98228,33.1469794,130.1889059,135.9
1.65,130.188964,33.146831,0.15,51.63,-3,-33,-132,9,10.51936,33.14698342,130.1889043,149.49
1.8,130.188964,33.146831,0.15,51.63,-3,-33,-132,9,11.13052,33.14698765,130.1889027,190.26
1.95,130.188964,33.146831,0.15,51.63,-3,-39,-136,9,11.46388,33.14699202,130.1889009,221.97
2.1,130.188949,33.146846,0.15,52.07,-4,-41,-137,9,11.83428,33.14699652,130.188899,244.62
2.25,130.188949,33.14685,0.15,52.07,-6,-41,-137,9,12.76028,33.14700128,130.1888971,178.935
2.4,130.188949,33.14685,0.15,52.07,-6,-41,-138,9,12.7788,33.14700613,130.1888951,140.43
2.55,130.188949,33.14685,0.15,52.07,-9,-39,-138,9,13.43626,33.14701123,130.1888931,217.44
2.7,130.188949,33.146865,0.15,52.07,-10,-38,-139,9,13.59368,33.14701645,130.188891,140.43
2.85,130.188934,33.146869,0.15,52.07,-12,-39,-141,9,14.41782,33.14702186,130.1888888,88.335
3,130.188934,33.146869,0.15,52.07,-12,-39,-141,9,14.70488,33.14702727,130.1888864,90.6
3.15,130.188934,33.146877,0.15,52.32,-15,-41,-143,9,15.5105,33.14703289,130.1888839,61.155
3.3,130.188934,33.146877,0.15,52.94,-19,-43,-146,9,16.149441,33.14703858,130.1888812,63.42
3.45,130.188934,33.146877,0.15,52.94,-21,-45,-148,9,16.9643205,33.14704427,130.188878,58.89
3.6,130.188934,33.146877,0.15,52.94,-21,-45,-148,9,17.075439,33.14704992,130.1888747,49.83
3.75,130.188919,33.146896,0.15,53.13,-22,-48,-152,9,17.5754805,33.14705578,130.1888711,40.77
3.9,130.188888,33.146903,0.15,53.13,-19,-48,-147,9,17.89032,33.1470616,130.1888675,36.24
4.05,130.188888,33.146911,0.15,53.32,-17,-48,-147,7,18.64964,33.14706757,130.1888635,27.18
4.2,130.188888,33.146911,0.15,53.32,-17,-48,-143,7,19.39044,33.1470736,130.1888593,22.65
4.35,130.188873,33.146923,0.15,53.32,-12,-47,-135,9,19.483041,33.14707943,130.1888549,15.855
4.5,130.188873,33.146923,0.15,56.63,-2,-44,-126,9,19.946039,33.14708515,130.1888503,18.12
4.65,130.188858,33.146957,0.15,56.63,2,-42,-126,9,20.58498,33.14709118,130.1888456,15.855
4.8,130.188858,33.146957,0.15,56.63,2,-42,-123,9,20.66832,33.14709752,130.1888406,13.59
4.95,130.188858,33.146957,0.15,62.63,11,-35,-119,9,21.4924605,33.1471041,130.1888357,9.06
5.1,130.188842,33.147003,0.15,62.63,13,-31,-121,9,22.038799,33.14711082,130.1888306,9.06
5.25,130.188827,33.147029,0.15,67,11,-23,-121,9,23.0574,33.14711809,130.1888253,9.06
5.4,130.188827,33.147029,0.15,67,11,-23,-122,9,23.316681,33.14712545,130.1888199,9.06
5.55,130.188827,33.147029,0.15,67,8,-6,-125,9,23.6778205,33.14713312,130.1888146,15.855
5.7,130.188796,33.147071,0.15,67.13,6,3,-124,9,24.1686,33.14714108,130.1888091,36.24
5.85,130.188796,33.14709,0.15,67.13,5,8,-124,9,24.37232,33.14714917,130.1888034,126.84
6,130.188796,33.14709,0.15,67.13,5,8,-122,9,24.76124,33.14715718,130.1887976,126.84
6.15,130.188781,33.147109,0.15,67.44,5,13,-117,9,25.10386,33.14716543,130.1887916,135.9
6.3,130.188781,33.147125,0.15,67.44,4,21,-111,9,25.205721,33.14717377,130.1887853,108.72
6.45,130.188781,33.147125,0.15,67.07,3,21,-111,9,25.53908,33.14718211,130.188779,126.84
6.6,130.188781,33.147125,0.15,67.07,3,23,-109,9,25.724279,33.14719057,130.1887725,122.31
6.75,130.188766,33.147151,0.15,67.07,3,25,-104,9,26.094681,33.14719904,130.1887659,117.78
