time,long,lat,dt,H,Roll,pitch,yaw,S,truckSpeed,truck_Lat,truck_long,Tension
0,130.188949,33.146835,0.15,67.07,2,-58,51,11,0,33.146982,130.188833,0
0.15,130.188949,33.146835,0.15,66.75,2,-58,51,11,1.54642,33.14698247,130.1888329,2.265
0.3,130.188949,33.146835,0.15,66.75,2,-59,51,11,1.2964,33.14698322,130.1888326,9.06
0.45,130.188949,33.146835,0.15,66.75,2,-59,51,11,3.36138,33.14698431,130.1888319,6.795
0.6,130.188949,33.146835,0.15,66.44,1,-64,46,11,3.8892,33.14698553,130.1888311,9.06
0.75,130.188949,33.146835,0.15,66.44,1,-63,48,11,5.2319,33.14698723,130.1888301,15.855
0.9,130.188949,33.146835,0.15,67.25,3,-48,48,11,6.1116,33.14698925,130.1888289,18.12
1.05,130.188949,33.146835,0.15,67.25,3,-48,60,11,7.0839,33.14699167,130.1888275,20.385
1.2,130.188949,33.146835,0.15,67.25,4,-40,64,11,7.70432,33.1469943,130.188826,27.18
1.35,130.188949,33.146839,0.15,67.44,4,-42,63,11,8.334,33.14699712,130.1888243,33.975
1.5,130.188934,33.146842,0.15,67.44,3,-46,61,11,9.01924,33.14700023,130.1888226,36.24
1.65,130.188934,33.146846,0.15,67.44,3,-46,61,11,9.78782,33.14700352,130.1888208,36.24
1.8,130.188934,33.146846,0.15,67.44,4,-46,61,11,10.33416,33.1470071,130.1888188,40.77
1.95,130.188934,33.14685,0.15,67.44,4,-46,61,11,11.44536,33.14701103,130.1888165,38.505
2.1,130.188934,33.146858,0.15,67.94,5,-45,62,11,12.46396,33.14701533,130.1888142,40.77
2.25,130.188934,33.146858,0.15,67.94,5,-45,62,11,13.5196,33.1470201,130.1888116,43.035
2.4,130.188934,33.146858,0.15,67.94,5,-43,63,11,14.59376,33.1470251,130.1888088,40.77
2.55,130.188919,33.146877,0.15,68.63,5,-44,63,11,15.10306,33.14703032,130.1888059,38.505
2.7,130.188919,33.146877,0.15,68.63,6,-44,63,11,15.51976,33.14703562,130.1888028,45.3
2.85,130.188919,33.146877,0.15,68.63,6,-44,63,11,16.1124,33.1470411,130.1887995,40.77
3,130.188919,33.146896,0.15,71.94,8,-40,65,11,16.59392,33.14704677,130.1887959,36.24
3.15,130.188919,33.146907,0.15,71.94,8,-39,65,11,17.28842,33.14705267,130.1887923,77.01
3.3,130.188919,33.146907,0.15,71.94,10,-33,68,11,18.557039,33.14705888,130.1887885,122.31
3.45,130.188919,33.146907,0.15,71.94,10,-33,68,11,18.7052,33.1470653,130.1887846,149.49
3.6,130.188903,33.146942,0.15,75.07,10,-40,67,11,19.520081,33.1470719,130.1887806,181.2
3.75,130.188888,33.146957,0.15,78.32,11,-41,66,11,19.89974,33.14707861,130.1887765,237.825
