time,long,lat,dt,H,Roll,pitch,yaw,S,truckSpeed,truck_Lat,truck_long,Tension
0,130.188537,33.147422,0.15,67.75,1,-62,-127,10,0,33.147633,130.18846,0
0.15,130.188537,33.147422,0.15,67.75,1,-62,-127,10,0.12038,33.1476334,130.1884623,-4.53
0.3,130.188537,33.147422,0.15,68.32,0,-59,-125,10,0.1852,33.14763333,130.1884622,-4.53
0.45,130.188537,33.147422,0.15,68.32,0,-51,-122,10,0.11112,33.1476333,130.1884622,-6.795
0.6,130.188537,33.147422,0.15,68.32,-1,-32,-115,10,0.0926,33.14763325,130.1884622,-4.53
0.75,130.188537,33.147422,0.15,68.32,-1,-32,-115,10,0.07408,33.1476332,130.1884622,-4.53
0.9,130.188537,33.147422,0.15,68.38,-2,-29,-114,10,0.0926,33.1476332,130.1884622,-4.53
1.05,130.188522,33.147441,0.15,68.38,-5,-28,-113,10,0.16668,33.1476332,130.1884622,-4.53
1.2,130.188522,33.147449,0.15,68.25,0,-37,-115,10,0.29632,33.14763313,130.1884621,-4.53
1.35,130.188522,33.147449,0.15,68.25,0,-37,-115,10,0.50004,33.14763317,130.188462,-4.53
1.5,130.188522,33.147449,0.15,68.25,-2,-46,-118,10,0.8334,33.14763338,130.1884618,-4.53
1.65,130.188522,33.147449,0.15,68.25,-1,-44,-117,10,1.41678,33.1476342,130.1884613,-4.53
1.8,130.188522,33.147449,0.15,68.19,0,-40,-115,10,2.01868,33.14763535,130.1884605,-4.53
1.95,130.188507,33.147468,0.15,68.19,0,-40,-115,10,3.02802,33.1476368,130.1884597,-4.53
2.1,130.188507,33.147468,0.15,68.19,0,-39,-114,10,4.66704,33.14763838,130.1884588,-4.53
2.25,130.188507,33.147476,0.15,68.25,1,-41,-114,10,5.80602,33.1476404,130.1884576,-4.53
2.4,130.188491,33.147483,0.15,68.25,3,-42,-114,10,6.96352,33.14764277,130.1884562,-4.53
2.55,130.188491,33.147487,0.15,68.25,3,-42,-114,10,7.61172,33.14764541,130.1884544,-4.53
2.7,130.188491,33.147487,0.15,68.32,6,-41,-113,10,8.18584,33.14764827,130.1884526,-4.53
2.85,130.188491,33.147495,0.15,68.32,6,-40,-113,10,9.0748,33.14765141,130.1884507,-4.53
3,130.188491,33.147502,0.15,68.63,8,-38,-111,10,10.29712,33.14765482,130.1884485,-4.53
3.15,130.188476,33.14751,0.15,68.63,8,-38,-111,10,11.03792,33.14765856,130.1884464,-4.53
3.3,130.188476,33.14751,0.15,68.63,12,-39,-110,10,11.61204,33.14766247,130.1884441,-4.53
3.45,130.188476,33.147521,0.15,68.38,15,-39,-109,10,11.84354,33.14766652,130.1884418,-4.53
3.6,130.188476,33.147529,0.15,68.38,23,-43,-107,10,12.38988,33.1476707,130.1884394,-4.53
3.75,130.188476,33.147541,0.15,68.38,23,-43,-107,10,12.93622,33.14767505,130.1884368,-4.53
3.9,130.188476,33.147541,0.15,68.5,30,-48,-107,10,13.13068,33.14767952,130.1884342,-4.53
4.05,130.188461,33.147556,0.15,68.5,33,-47,-106,10,13.9363,33.14768418,130.1884314,-4.53
4.2,130.188461,33.147571,0.15,69.82,35,-46,-106,10,14.27892,33.14768898,130.1884285,-4.53
4.35,130.188461,33.147586,0.15,69.82,35,-46,-106,10,15.07528,33.14769387,130.1884254,0
4.5,130.188461,33.147586,0.15,69.82,37,-39,-103,10,15.24196,33.14769888,130.1884222,0
4.65,130.188461,33.147605,0.15,71.69,36,-44,-108,10,15.76052,33.14770386,130.1884189,0
4.8,130.188461,33.147605,0.15,71.69,27,-44,-117,10,16.22352,33.14770902,130.1884155,4.53
4.95,130.188461,33.147605,0.15,71.69,27,-44,-117,10,16.90876,33.14771465,130.1884119,9.06
5.1,130.188461,33.147605,0.15,76.75,20,-41,-125,10,17.20508,33.14772048,130.1884084,40.77
5.25,130.18843,33.14767,0.15,76.75,18,-36,-127,9,17.7606805,33.14772652,130.1884047,113.25
5.4,130.18843,33.14767,0.15,76.75,9,-27,-130,9,18.668159,33.14773265,130.1884007,140.43
5.55,130.18843,33.147697,0.15,76.75,9,-27,-130,9,18.86262,33.14773894,130.1883965,167.61
